,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,license,github_release_downloads
0,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,2011-03-02 17:13:56,2022-11-30 09:40:16,2022-11-29 20:49:41,8630,65.0,6205,616,4447,88.0,3701.0,24560,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,396157.0,396157.0,1327,https://pypi.org/project/django-rest-framework,76444,76444,43,True,1,2.0,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,2009-04-24 11:31:24,2022-11-30 13:41:32,2022-11-30 13:41:32,12077,79.0,4221,477,2780,527.0,4251.0,20514,2022-08-01 11:20:41,5.3.0b1,37.0,Distributed Task Queue (development branch).,79663.0,79663.0,1252,https://pypi.org/project/celery,5851892,5851892,43,True,1,2.0,,
2,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,2014-02-03 12:41:59,2022-11-30 21:37:03,2022-11-29 21:57:38,14208,465.0,2834,336,5452,813.0,3312.0,13614,2022-11-11 17:17:59,4.1.1,100.0,A Django content management system focused on flexibility and user experience.,7447.0,7447.0,765,https://pypi.org/project/wagtail,129241,129241,42,True,1,,BSD-3-Clause,
3,django-allauth,pennersr/django-allauth,django-allauth,[],authentication,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,2010-10-10 20:10:52,2022-11-30 20:49:13,2022-11-30 20:48:52,2472,20.0,2590,190,1293,289.0,1609.0,7601,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",116898.0,116898.0,602,https://pypi.org/project/django-allauth,592539,592539,38,True,1,,MIT,
4,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,2009-03-21 16:11:19,2022-10-29 14:29:42,2022-09-09 11:10:06,3601,10.0,1073,104,940,124.0,707.0,5935,2022-09-09 11:10:54,3.2.1,4.0,This is a repository for collecting global custom management extensions for the Django Framework.,118630.0,118630.0,568,https://pypi.org/project/django-extensions,2051449,2051449,38,True,1,,MIT,
5,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,2011-11-14 10:53:48,2022-11-30 06:33:21,2022-11-28 23:15:15,1675,17.0,1304,213,723,187.0,804.0,8632,2022-09-25 08:03:45,1.11.1,21.0,Simple job queues for Python.,11463.0,11463.0,275,https://pypi.org/project/rq,792410,792410,37,True,2,,,
6,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,2009-03-05 10:14:18,2022-11-30 15:01:24,2022-11-24 11:39:24,16063,25.0,2766,409,4005,102.0,3299.0,9023,,,1.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4604.0,4604.0,615,https://pypi.org/project/django-cms,39147,39147,36,True,3,-1.0,BSD-3-Clause,
7,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,2015-09-24 09:18:18,2022-11-27 19:30:08,2022-11-21 14:40:05,1729,12.0,772,146,509,106.0,860.0,7478,2022-09-08 09:26:24,3.1.1,55.0,GraphQL framework for Python.,14345.0,14345.0,193,https://pypi.org/project/graphene,1785911,1785911,36,True,1,,MIT,
8,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,2008-08-28 06:58:04,2022-11-28 19:18:00,2022-11-24 20:24:17,2422,28.0,854,107,889,73.0,746.0,7272,2022-09-25 16:02:28,3.7,10.0,A configurable set of panels that display various debug information about the current request/response.,58211.0,58211.0,263,https://pypi.org/project/django-debug-toolbar,1630437,1630438,36,True,1,,BSD-3-Clause,178.0
9,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,2010-12-08 21:30:32,2022-11-30 18:46:24,2022-11-30 10:36:13,8838,22.0,1945,266,2567,137.0,1300.0,5532,2021-07-29 04:15:39,3.1,4.0,Domain-driven e-commerce for Django.,927.0,927.0,335,https://pypi.org/project/django-oscar,15896,15896,35,True,1,,BSD-3-Clause,
10,graphene-django,graphql-python/graphene-django,graphene-django,[],graphql-api,https://github.com/graphql-python/graphene-django,https://github.com/graphql-python/graphene-django,2016-09-17 23:26:25,2022-11-30 13:46:32,2022-11-22 22:16:14,888,27.0,690,74,550,136.0,626.0,3973,2022-09-26 12:12:07,3.0.0,41.0,Integrate GraphQL into your Django project.,8886.0,8886.0,201,https://pypi.org/project/graphene-django,329945,329945,34,True,2,,MIT,
11,django-environ,joke2k/django-environ,django-environ,[],configuration,https://github.com/joke2k/django-environ,https://github.com/joke2k/django-environ,2013-04-02 13:50:07,2022-11-05 12:30:41,2022-06-15 09:59:27,517,,274,36,214,58.0,154.0,2663,2022-06-15 15:03:09,0.9.0,15.0,Django-environ allows you to utilize 12factor inspired environment variables to configure your Django application.,106924.0,106924.0,76,https://pypi.org/project/django-environ,1141042,1141042,34,True,1,-1.0,MIT,7.0
12,django-ninja,vitalik/django-ninja,django-ninja,[],restful-api,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,2020-05-19 08:48:53,2022-11-29 01:37:14,2022-11-20 12:36:47,704,25.0,229,62,169,134.0,268.0,3708,2022-07-20 15:41:41,0.19.1,25.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",870.0,870.0,65,https://pypi.org/project/django-ninja,62563,62563,32,True,3,4.0,MIT,
13,django-rq,rq/django-rq,django-rq,[],task-queues,https://github.com/rq/django-rq,https://github.com/rq/django-rq,2012-05-15 10:21:58,2022-11-19 11:25:44,2022-11-19 09:20:48,578,10.0,253,27,258,72.0,231.0,1589,2022-11-05 02:02:30,2.6.0,7.0,A simple app that provides django integration for RQ (Redis Queue).,2127.0,2127.0,110,https://pypi.org/project/django-rq,159546,159546,32,True,3,2.0,MIT,
14,saleor,saleor/saleor,saleor,[],ecommerce-framework,https://github.com/saleor/saleor,https://github.com/saleor/saleor,2013-02-12 16:46:39,2022-11-30 15:01:49,2022-11-30 12:42:53,20077,177.0,4685,387,7000,318.0,3028.0,17548,2022-11-30 12:52:00,3.8.13,100.0,"A modular, high performance, headless e-commerce platform built with Python, GraphQL, Django, and React.",1.0,1.0,257,https://pypi.org/project/saleor,24,24,31,True,2,,BSD-3-Clause,
15,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,2018-12-21 08:56:55,2022-11-30 10:31:50,2022-11-30 10:31:49,2445,163.0,333,44,1708,221.0,372.0,2759,2022-11-29 15:37:57,0.142.3,100.0,A GraphQL library for Python that leverages type annotations.,823.0,823.0,161,https://pypi.org/project/strawberry,360,407,31,True,2,,MIT,377.0
16,django-constance,jazzband/django-constance,django-constance,[],configuration,https://github.com/jazzband/django-constance,https://github.com/jazzband/django-constance,2010-09-20 12:42:29,2022-10-13 17:16:31,2022-10-13 17:16:31,623,3.0,277,33,246,30.0,229.0,1505,2022-08-11 11:56:06,2.9.1,1.0,Dynamic Django settings.,1201.0,1201.0,137,https://pypi.org/project/django-constance,163572,163572,30,True,2,,BSD-3-Clause,
17,django-admin-interface,fabiocaccamo/django-admin-interface,django-admin-interface,[],admin-interface,https://github.com/fabiocaccamo/django-admin-interface,https://github.com/fabiocaccamo/django-admin-interface,2015-10-26 14:46:36,2022-11-30 18:18:38,2022-11-30 18:18:25,622,77.0,128,32,65,11.0,137.0,1258,2022-11-30 18:18:53,0.23.0,46.0,"djangos default admin interface with superpowers - customizable themes, popup windows replaced by modals and many..",2186.0,2186.0,29,https://pypi.org/project/django-admin-interface,52957,52957,30,True,1,,MIT,
18,django-dbbackup,jazzband/django-dbbackup,django-dbbackup,[],management-commands,https://github.com/jazzband/django-dbbackup,https://github.com/jazzband/django-dbbackup,2014-12-29 02:39:34,2022-11-28 19:17:51,2022-11-02 07:53:38,467,3.0,177,21,210,55.0,204.0,674,2022-09-27 23:25:03,4.0.2,3.0,Management commands to help backup and restore your project database and media files.,1134.0,1134.0,61,https://pypi.org/project/django-dbbackup,61154,61154,30,True,3,,BSD-3-Clause,
19,django-fsm,viewflow/django-fsm,django-fsm,[],finite-state-machine,https://github.com/viewflow/django-fsm,https://github.com/viewflow/django-fsm,2010-05-31 14:03:48,2022-10-21 04:39:31,2022-08-15 10:45:43,336,,253,43,140,18.0,135.0,2100,2022-03-25 12:30:10,2.8.0,4.0,Django friendly finite state machine support.,1166.0,1166.0,64,https://pypi.org/project/django-fsm,239980,239980,29,True,1,,MIT,
20,django-grappelli,sehmaschine/django-grappelli,django-grappelli,[],admin-interface,https://github.com/sehmaschine/django-grappelli,https://github.com/sehmaschine/django-grappelli,2010-03-26 12:25:59,2022-11-22 14:09:40,2022-11-22 14:03:04,1875,8.0,634,95,317,5.0,685.0,3360,,,,A jazzy skin for the Django Admin-Interface (official repository).,5126.0,5126.0,82,https://pypi.org/project/django-grappelli,143619,143619,28,True,3,,,
21,django-guardian,django-guardian/django-guardian,django-guardian,[],authorization,https://github.com/django-guardian/django-guardian,https://github.com/django-guardian/django-guardian,2010-06-04 23:15:37,2022-10-02 18:27:44,2022-03-25 21:42:47,1062,,527,85,348,121.0,321.0,3295,,,,Per object permissions for Django.,5098.0,5098.0,159,https://pypi.org/project/django-guardian,371950,371950,28,True,1,,,
22,mezzanine,stephenmcd/mezzanine,mezzanine,[],cms-framework,https://github.com/stephenmcd/mezzanine,https://github.com/stephenmcd/mezzanine,2010-05-29 12:16:55,2022-11-02 08:25:54,2022-11-02 08:25:54,5304,2.0,1545,255,978,38.0,1008.0,4538,2022-05-12 12:48:08,6.0.0,9.0,CMS framework for Django.,,,326,https://pypi.org/project/mezzanine,2977,2977,26,True,3,-1.0,BSD-2-Clause,
23,django-shop,awesto/django-shop,django-shop,[],ecommerce-framework,https://github.com/awesto/django-shop,https://github.com/awesto/django-shop,2010-11-19 11:15:48,2022-04-08 09:00:09,2021-02-28 18:04:57,5402,,945,171,500,84.0,292.0,2921,,,,A Django based shop system.,205.0,205.0,96,https://pypi.org/project/django-shop,6548,6548,26,True,3,,BSD-3-Clause,
24,django-celery-beat,celery/django-celery-beat,django-celery-beat,[],task-queues,https://github.com/celery/django-celery-beat,https://github.com/celery/django-celery-beat,2016-08-03 22:34:19,2022-11-30 22:16:21,2022-11-08 03:44:07,327,19.0,359,47,227,60.0,284.0,1263,2022-10-19 13:41:57,2.4.0,13.0,Celery Periodic Tasks backed by the Django ORM.,,,101,https://pypi.org/project/django-celery-beat,770430,770430,26,True,3,,,
25,django-jazzmin,farridav/django-jazzmin,django-jazzmin,[],admin-interface,https://github.com/farridav/django-jazzmin,https://github.com/farridav/django-jazzmin,2020-05-11 19:50:44,2022-11-24 02:39:03,2022-11-03 13:11:18,1029,25.0,180,33,243,74.0,137.0,1158,2022-11-03 13:23:16,2.6.0,28.0,Jazzy theme for Django.,,,61,https://pypi.org/project/django-jazzmin,63993,63993,26,True,3,2.0,MIT,
26,django-configurations,jazzband/django-configurations,django-configurations,[],configuration,https://github.com/jazzband/django-configurations,https://github.com/jazzband/django-configurations,2012-07-21 13:56:20,2022-11-04 17:52:34,2022-11-04 17:52:34,476,3.0,125,20,166,38.0,141.0,949,2022-09-01 09:46:30,2.4,7.0,A helper for organizing Django project settings by relying on well established programming patterns.,2415.0,2415.0,63,https://pypi.org/project/django-configurations,100757,100757,26,True,3,,BSD-3-Clause,
27,django-waffle,django-waffle/django-waffle,django-waffle,[],feature-flipper,https://github.com/django-waffle/django-waffle,https://github.com/django-waffle/django-waffle,2011-01-23 17:42:09,2022-10-02 01:30:04,2022-10-02 01:30:04,425,12.0,228,23,284,35.0,160.0,946,2022-08-30 17:26:52,3.0.0,22.0,A feature flipper for Django.,,,115,https://pypi.org/project/django-waffle,306393,306393,26,True,1,,BSD-3-Clause,
28,django-cas-ng,django-cas-ng/django-cas-ng,django-cas-ng,[],authentication,https://github.com/django-cas-ng/django-cas-ng,https://github.com/django-cas-ng/django-cas-ng,2014-05-23 22:52:34,2022-11-18 17:19:04,2022-11-18 17:19:04,636,15.0,156,19,179,2.0,147.0,347,2022-01-09 02:06:44,4.3.0,26.0,"Django CAS 1.0/2.0/3.0 client authentication library, support Django 2.0, 2.1, 2.2, 3.0 and Python 3.5+.",375.0,375.0,83,https://pypi.org/project/django-cas-ng,12977,12981,26,True,3,,MIT,440.0
29,factory_boy,FactoryBoy/factory_boy,factory_boy,[],testing,https://github.com/FactoryBoy/factory_boy,https://github.com/FactoryBoy/factory_boy,2011-05-11 08:26:59,2022-11-08 14:38:20,2022-11-07 13:29:07,957,11.0,351,41,460,159.0,373.0,2993,,,,A test fixtures replacement for Python.,,,125,https://pypi.org/project/factory_boy,2267408,2267408,25,True,1,,MIT,
30,pytest-django,pytest-dev/pytest-django,pytest-django,[],testing,https://github.com/pytest-dev/pytest-django,https://github.com/pytest-dev/pytest-django,2011-09-29 19:35:55,2022-11-08 21:00:46,2022-11-08 21:00:46,1191,4.0,300,36,549,133.0,354.0,1120,2021-12-07 14:56:42,4.5.2,19.0,A Django plugin for pytest.,,,137,https://pypi.org/project/pytest-django,1706625,1706625,25,True,1,,,
31,viewflow,viewflow/viewflow,viewflow,[],finite-state-machine,https://github.com/viewflow/viewflow,https://github.com/viewflow/viewflow,2013-09-10 10:16:35,2022-11-10 14:29:42,2022-07-01 11:17:40,857,,365,105,85,22.0,252.0,2284,2017-05-29 17:10:27,1.0.0,2.0,Reusable workflow library for Django.,243.0,243.0,31,https://pypi.org/project/viewflow,50,50,24,True,2,,AGPL-3.0,
32,shuup,shuup/shuup,shuup,[],ecommerce-framework,https://github.com/shuup/shuup,https://github.com/shuup/shuup,2015-06-03 12:53:21,2022-11-22 07:53:27,2021-08-18 22:32:03,7104,,958,118,2189,142.0,291.0,1950,2021-08-17 18:55:57,2.14.3,100.0,E-Commerce Platform.,115.0,115.0,67,https://pypi.org/project/shuup,1044,1056,24,True,3,,,500.0
33,django-q,Koed00/django-q,django-q,[],task-queues,https://github.com/Koed00/django-q,https://github.com/Koed00/django-q,2015-06-14 12:37:08,2022-09-01 04:09:16,2021-06-26 12:04:16,1246,,215,54,305,256.0,145.0,1652,2021-06-10 16:52:14,1.3.9,78.0,A multiprocessing distributed task queue for Django.,,,62,https://pypi.org/project/django-q,72366,72366,24,True,3,-1.0,MIT,
34,django-organizations,bennylope/django-organizations,django-organizations,[],authorization,https://github.com/bennylope/django-organizations,https://github.com/bennylope/django-organizations,2012-02-02 02:38:49,2022-11-29 20:45:14,2022-11-29 20:45:14,725,22.0,180,35,91,16.0,130.0,1045,2022-10-25 22:24:10,2.1.0,14.0,Multi-user accounts for Django projects.,,,46,https://pypi.org/project/django-organizations,26092,26092,24,True,3,,BSD-2-Clause,
35,strawberry-graphql-django,strawberry-graphql/strawberry-graphql-django,strawberry-graphql-django,[],graphql-api,https://github.com/strawberry-graphql/strawberry-graphql-django,https://github.com/strawberry-graphql/strawberry-graphql-django,2020-10-30 17:12:01,2022-11-28 16:43:55,2022-11-24 14:21:17,317,83.0,47,12,94,56.0,67.0,216,2022-11-16 22:56:41,0.8.2,14.0,Strawberry GraphQL Django extension.,,,38,https://pypi.org/project/strawberry-graphql-django,22978,22978,23,True,3,,MIT,
36,django-graphql-jwt,flavors/django-graphql-jwt,django-graphql-jwt,[],graphql-api,https://github.com/flavors/django-graphql-jwt,https://github.com/flavors/django-graphql-jwt,2017-11-05 15:29:56,2022-10-13 19:39:23,2021-08-11 20:56:04,541,,140,20,94,46.0,168.0,778,2021-08-11 20:57:06,0.3.4,26.0,JSON Web Token (JWT) authentication for Graphene Django.,,,23,https://pypi.org/project/django-graphql-jwt,108667,108667,22,True,3,,MIT,
37,django-fsm-log,jazzband/django-fsm-log,django-fsm-log,[],finite-state-machine,https://github.com/jazzband/django-fsm-log,https://github.com/jazzband/django-fsm-log,2013-10-30 03:15:55,2022-11-28 19:18:32,2022-10-18 15:05:33,289,1.0,66,8,104,9.0,31.0,196,2022-01-14 14:21:04,3.0.0,9.0,Automatic logging for Django FSM.,108.0,108.0,24,https://pypi.org/project/django-fsm-log,32368,32368,22,True,3,,MIT,
38,model_bakery,model-bakers/model_bakery,model_bakery,[],testing,https://github.com/model-bakers/model_bakery,https://github.com/model-bakers/model_bakery,2019-10-08 12:49:08,2022-11-07 12:07:07,2022-11-02 08:11:17,258,21.0,69,12,245,20.0,92.0,613,2022-10-24 06:11:08,1.9.0,10.0,Object factory for Django.,,,40,https://pypi.org/project/model_bakery,304485,304485,21,True,3,,,
39,django-test-migrations,wemake-services/django-test-migrations,django-test-migrations,[],testing,https://github.com/wemake-services/django-test-migrations,https://github.com/wemake-services/django-test-migrations,2019-11-21 14:10:42,2022-11-29 02:05:35,2022-11-22 07:17:32,339,21.0,23,9,274,7.0,46.0,374,2021-12-13 22:15:21,1.2.0,6.0,"Test django schema and data migrations, including migrations order and best practices.",,,16,https://pypi.org/project/django-test-migrations,70095,70095,21,True,3,,MIT,
40,django-graphql-auth,PedroBern/django-graphql-auth,django-graphql-auth,[],graphql-api,https://github.com/PedroBern/django-graphql-auth,https://github.com/PedroBern/django-graphql-auth,2020-01-15 16:36:01,2022-06-17 09:46:13,2022-06-17 09:46:13,276,,77,20,56,58.0,44.0,299,,,,Django registration and authentication with GraphQL.,503.0,503.0,16,https://pypi.org/project/django-graphql-auth,11498,11498,20,True,3,,MIT,
41,django-guid,snok/django-guid,django-guid,[],logging,https://github.com/snok/django-guid,https://github.com/snok/django-guid,2019-12-20 10:25:27,2022-11-27 20:33:43,2022-11-27 19:33:45,184,8.0,16,8,70,1.0,19.0,286,2022-05-06 13:06:01,3.3.0,15.0,"Inject an ID into every log message from a Django request. ASGI compatible, integrates with Sentry, and works with..",55.0,55.0,8,https://pypi.org/project/django-guid,34933,34933,20,True,1,,BSD-3-Clause,
42,django-split-settings,wemake-services/django-split-settings,django-split-settings,[],configuration,https://github.com/wemake-services/django-split-settings,https://github.com/wemake-services/django-split-settings,2013-05-17 06:04:30,2022-09-27 13:25:56,2022-09-27 12:51:22,456,1.0,58,20,404,4.0,38.0,935,2022-09-27 12:54:00,1.2.0,6.0,Organize Django settings into multiple files and directories. Easily override and modify settings. Use wildcards and..,,,20,https://pypi.org/project/django-split-settings,77639,77639,19,True,3,-3.0,BSD-3-Clause,
43,django-extra-settings,fabiocaccamo/django-extra-settings,django-extra-settings,[],configuration,https://github.com/fabiocaccamo/django-extra-settings,https://github.com/fabiocaccamo/django-extra-settings,2020-02-12 10:59:54,2022-11-29 00:05:13,2022-11-28 11:43:37,138,28.0,16,4,25,1.0,18.0,269,2022-09-27 07:51:14,0.6.1,14.0,config and manage typed extra settings using just the django admin.,33.0,33.0,9,https://pypi.org/project/django-extra-settings,5457,5457,19,True,3,,MIT,
44,django-click,GaretJax/django-click,django-click,[],management-commands,https://github.com/GaretJax/django-click,https://github.com/GaretJax/django-click,2015-09-10 22:48:53,2022-03-17 20:00:04,2022-03-17 20:00:04,120,,17,7,22,9.0,8.0,214,2021-09-07 19:36:52,2.3.0,3.0,Write Django management command using the click CLI library.,199.0,199.0,11,https://pypi.org/project/django-click,39132,39132,19,True,3,,MIT,
45,django-test-plus,revsys/django-test-plus,django-test-plus,[],testing,https://github.com/revsys/django-test-plus,https://github.com/revsys/django-test-plus,2015-05-23 16:08:52,2022-10-12 15:58:54,2022-10-08 04:18:12,456,3.0,55,11,139,5.0,44.0,543,,,,Useful additions to Djangos default TestCase.,,,30,https://pypi.org/project/django-test-plus,39634,39634,18,True,3,,BSD-3-Clause,
46,django-concurrency,saxix/django-concurrency,django-concurrency,[],concurrent-data-access,https://github.com/saxix/django-concurrency,https://github.com/saxix/django-concurrency,2012-03-20 01:05:04,2022-08-04 10:49:36,2022-08-04 10:49:36,662,,46,8,176,6.0,60.0,394,2022-03-04 14:07:54,2.4,2.0,Optimistic lock implementation for Django. Prevents users from doing concurrent editing.,,,24,https://pypi.org/project/django-concurrency,26128,26128,18,True,1,,MIT,
47,django-fsm-admin,gadventures/django-fsm-admin,django-fsm-admin,[],finite-state-machine,https://github.com/gadventures/django-fsm-admin,https://github.com/gadventures/django-fsm-admin,2014-03-12 04:43:00,2022-10-25 08:27:00,2022-10-25 08:26:59,123,1.0,76,30,66,17.0,20.0,188,,,,Mixin and template tags to integrate django-fsm transitions into the django admin.,278.0,278.0,32,https://pypi.org/project/django-fsm-admin,57748,57748,18,True,3,,,
48,django-trackstats,pennersr/django-trackstats,django-trackstats,[],statistics,https://github.com/pennersr/django-trackstats,https://github.com/pennersr/django-trackstats,2016-01-28 21:43:35,2022-11-23 10:11:37,2022-04-25 09:05:39,43,,32,12,10,3.0,8.0,369,,,,Keep track of your statistics.,22.0,22.0,6,https://pypi.org/project/django-trackstats,813,813,15,True,1,,MIT,
49,django-optimistic-lock,gavinwahl/django-optimistic-lock,django-optimistic-lock,[],concurrent-data-access,https://github.com/gavinwahl/django-optimistic-lock,https://github.com/gavinwahl/django-optimistic-lock,2013-04-08 02:27:12,2020-11-22 15:50:03,2019-01-02 20:50:21,44,,20,2,8,1.0,4.0,109,,,,Offline optimistic locking for Django.,12.0,12.0,4,https://pypi.org/project/django-optimistic-lock,3935,3935,12,True,3,,BSD-2-Clause,
50,django-fsm-freeze,ming-tung/django-fsm-freeze,django-fsm-freeze,[],finite-state-machine,https://github.com/ming-tung/django-fsm-freeze,https://github.com/ming-tung/django-fsm-freeze,2021-06-11 15:38:15,2022-11-08 19:03:49,2022-10-25 09:06:16,93,5.0,2,2,84,,4.0,4,2021-08-24 14:35:00,0.1.9,9.0,django-fsm data immutability support.,,,3,https://pypi.org/project/django-fsm-freeze,152,152,10,False,3,,MIT,
51,django-locking,debrouwere/django-locking,django-locking,[],concurrent-data-access,https://github.com/debrouwere/django-locking,https://github.com/debrouwere/django-locking,2010-06-01 20:20:54,2019-09-15 22:09:45,2012-02-15 16:11:21,21,,13,5,9,,,137,,,,"Prevents users from doing concurrent editing in Django. Works out of the box in the admin interface, or you can..",4.0,4.0,3,https://pypi.org/project/django-locking,24,24,8,False,3,,,
